iter	RMSE
0	23586.17488
1	23528.88707
2	23480.98388
3	23475.21252
4	23467.98548
5	23273.71412
6	23207.28286
7	23177.05922
8	23036.51508
9	22983.64824
10	22941.12189
11	22905.15233
12	22835.18909
13	22812.50577
14	22807.14881
15	22786.49373
16	22751.29438
17	22751.29235
18	22696.86084
19	22614.08889
20	22531.43283
21	22461.436
22	22458.2979
23	22431.25352
24	22404.78134
25	22341.63731
26	22322.21845
27	22304.44327
28	22263.25108
29	22259.16441
30	22243.69204
31	22241.50272
32	22223.30873
33	22208.94419
34	22198.31779
35	22195.24127
36	22168.31628
37	22148.03941
38	22042.94367
39	22041.00415
40	22036.223
41	22021.37955
42	21981.38137
43	21953.33999
44	21940.61144
45	21922.8367
46	21920.72281
47	21916.06021
48	21910.1603
49	21908.50192
50	21885.80856
51	21877.92917
52	21876.42826
53	21870.36685
54	21681.99556
55	21670.63247
56	21669.92365
57	21667.77197
58	21663.3861
59	21663.07184
60	21650.87712
61	21646.79405
62	21646.23796
63	21637.74604
64	21633.17667
65	21633.17662
66	21633.17657
67	21630.57758
68	21575.91413
69	21563.21871
70	21552.21113
71	21543.84948
72	21536.13142
73	21529.89205
74	21529.89199
75	21513.1854
76	21509.90996
77	21493.14698
78	21339.0308
79	21325.2091
80	21322.76967
81	21321.60621
82	21320.959
83	21319.58715
84	21319.39467
85	21308.41114
86	21276.83152
87	21262.90828
88	21261.92484
89	21257.92009
90	21250.62806
91	21216.28842
92	21210.9108
93	21183.59393
94	21182.80448
95	21155.71279
96	21146.86438
97	21138.63277
98	21041.51836
99	21035.7769
100	21021.76807
101	20973.57347
102	20906.30468
103	20904.93739
104	20903.14603
105	20868.85808
106	20868.05482
107	20866.40087
108	20864.66928
109	20859.12999
110	20857.08842
111	20856.27812
112	20844.30127
113	20842.16187
114	20839.77469
115	20837.93422
116	20827.79433
117	20775.00161
118	20704.30887
119	20701.55719
120	20694.45424
121	20694.40513
122	20686.06649
123	20684.75637
124	20670.1244
125	20666.97444
126	20660.05056
127	20658.98445
128	20657.21378
129	20650.56318
130	20644.5586
131	20579.06391
132	20578.44067
133	20575.90505
134	20573.32113
135	20571.13077
136	20565.5446
137	20559.77046
138	20558.99284
139	20554.20277
140	20548.95221
141	20546.69576
142	20545.9753
143	20541.99189
144	20541.54631
145	20538.24028
146	20536.25684
147	20533.51074
148	20531.57934
149	20526.66236
150	20524.84306
151	20524.42116
152	20523.83106
153	20521.54616
154	20521.47997
155	20500.1536
156	20498.36709
157	20497.82923
158	20496.1125
159	20491.70099
160	20473.57687
161	20473.0769
162	20463.8619
163	20448.49062
164	20435.43245
165	20396.45083
166	20392.00865
167	20389.21158
168	20386.7255
169	20385.21066
170	20383.78248
171	20382.44482
172	20380.65036
173	20379.30614
174	20377.27846
175	20375.99121
176	20340.85797
177	20336.98623
178	20278.85007
179	20277.72795
180	20276.41888
181	20275.48174
182	20222.06237
183	20220.24575
184	20219.46461
185	20215.10991
186	20213.91963
187	20210.00578
188	20107.56456
189	20106.42187
190	20106.32374
191	20088.76299
192	20087.67923
193	20086.65306
194	20085.68114
195	20082.11988
196	20023.5745
197	19999.75741
198	19998.82268
199	19997.93691
200	19996.62229
201	19993.39782
202	19992.54927
203	19991.35303
204	19969.28508
205	19944.88333
206	19944.76578
207	19836.97286
208	19833.99207
209	19817.29925
210	19816.5141
211	19714.00258
212	19713.28895
213	19712.61248
214	19708.24072
215	19686.0329
216	19589.09873
217	19588.9475
218	19587.67656
219	19568.60289
220	19564.32276
221	19563.77041
222	19563.07208
223	19562.96126
224	19562.43626
225	19561.93869
226	19561.46704
227	19468.40895
228	19380.03275
229	19378.40414
230	19373.74596
231	19369.52849
232	19286.82887
233	19281.15941
234	19278.26536
235	19277.69486
236	19250.09176
237	19249.96437
238	19249.8296
239	19248.88076
240	19248.80885
241	19248.70885
242	19248.6306
243	19248.56468
244	19247.77062
245	19247.71546
246	19247.66886
247	19243.94483
248	19165.83021
249	19162.64518
250	19162.41394
251	19159.21938
252	19158.79486
253	19155.97441
254	19079.12549
255	19078.95604
256	19078.81379
257	19078.2976
258	19078.17849
259	19077.75016
260	19065.16871
261	19062.92229
262	19062.12606
263	19062.01872
264	19061.97249
265	19061.60778
266	19054.64479
267	19052.80487
268	18932.53931
269	18862.24799
270	18754.70886
271	18688.0795
272	18673.88211
273	18666.20022
274	18666.13907
275	18662.27845
276	18651.00433
277	18650.77725
278	18650.63915
279	18648.40727
280	18648.2336
281	18641.84129
282	18545.89716
283	18542.87878
284	18542.8299
285	18479.82487
286	18473.29271
287	18471.84364
288	18471.79619
289	18471.75695
290	18466.69562
291	18466.65608
292	18464.44175
293	18464.41625
294	18462.28835
295	18462.26752
296	18454.14432
297	18454.03694
298	18451.53962
299	18449.60449
300	18449.02335
301	18444.60109
302	18440.65698
303	18440.19471
304	18429.68456
305	18423.20602
306	18315.04648
307	18314.52493
308	18314.16944
309	18312.33544
310	18311.56798
311	18267.24873
312	18264.85819
313	18263.19349
314	18261.22509
315	18261.20467
316	18243.00647
317	18239.98723
318	18239.59501
319	18235.88652
320	18195.18863
321	18194.05182
322	18193.85042
323	18193.8374
324	18193.66045
325	18193.64888
326	18191.37473
327	18191.33285
328	18191.32396
329	18191.31646
330	18188.70079
331	18148.13676
332	18145.62275
333	18143.3698
334	18143.36365
335	18142.90927
336	18140.02213
337	18138.07832
338	18138.0265
339	18114.32488
340	18113.50183
341	18110.96799
342	18107.15216
343	18106.18947
344	18101.01929
345	18097.8602
346	18096.98067
347	18094.36299
348	18094.24588
349	18094.21177
350	18092.03799
351	18040.25376
352	18039.88735
353	18039.58452
354	18030.6556
355	18011.58318
356	18011.48307
357	18009.65685
358	18009.6488
359	18009.64148
360	18008.12151
361	18006.85458
362	18006.77406
363	17989.92983
364	17988.86975
365	17987.98331
366	17973.09493
367	17959.9328
368	17958.79412
369	17947.14835
370	17936.84329
371	17936.08322
372	17934.72547
373	17933.7857
374	17933.5288
