iter	Passed	Remaining
0	93	46558
1	174	43331
2	262	43507
3	345	42804
4	420	41656
5	496	40868
6	564	39743
7	615	37853
8	685	37393
9	762	37362
10	852	37890
11	920	37450
12	989	37079
13	1072	37216
14	1142	36954
15	1215	36779
16	1289	36627
17	1303	34912
18	1378	34894
19	1444	34659
20	1516	34588
21	1579	34310
22	1650	34228
23	1715	34028
24	1781	33856
25	1849	33726
26	1942	34035
27	2014	33956
28	2081	33802
29	2143	33578
30	2214	33499
31	2276	33293
32	2345	33198
33	2413	33080
34	2476	32899
35	2538	32717
36	2603	32575
37	2661	32360
38	2723	32190
39	2786	32039
40	2846	31868
41	2918	31825
42	2981	31691
43	3042	31527
44	3107	31425
45	3174	31335
46	3239	31222
47	3307	31150
48	3367	30992
49	3444	31001
50	3511	30915
51	3580	30846
52	3646	30751
53	3730	30812
54	3807	30805
55	3885	30809
56	3943	30645
57	4020	30637
58	4097	30628
59	4134	30321
60	4199	30224
61	4264	30124
62	4339	30103
63	4408	30035
64	4466	29888
65	4483	29483
66	4502	29100
67	4578	29087
68	4646	29025
69	4708	28921
70	4767	28809
71	4830	28712
72	4892	28616
73	4956	28532
74	4972	28177
75	5041	28126
76	5104	28043
77	5170	27975
78	5240	27927
79	5306	27860
80	5371	27784
81	5442	27742
82	5503	27651
83	5570	27587
84	5643	27555
85	5721	27542
86	5794	27505
87	5857	27424
88	5917	27327
89	5986	27272
90	6054	27212
91	6131	27192
92	6187	27078
93	6252	27006
94	6315	26922
95	6379	26847
96	6462	26851
97	6535	26809
98	6608	26765
99	6673	26694
100	6745	26647
101	6810	26573
102	6879	26516
103	6952	26471
104	7016	26394
105	7080	26317
106	7140	26226
107	7199	26130
108	7259	26042
109	7332	25995
110	7407	25959
111	7478	25909
112	7541	25827
113	7602	25742
114	7686	25731
115	7755	25674
116	7822	25607
117	7886	25529
118	7954	25468
119	8021	25399
120	8090	25340
121	8164	25297
122	8236	25244
123	8299	25165
124	8382	25148
125	8447	25074
126	8509	24992
127	8573	24917
128	8639	24847
129	8703	24771
130	8774	24715
131	8832	24623
132	8894	24543
133	8959	24472
134	9027	24409
135	9086	24320
136	9152	24249
137	9217	24178
138	9278	24098
139	9342	24022
140	9401	23938
141	9470	23875
142	9534	23803
143	9602	23739
144	9665	23664
145	9729	23589
146	9806	23548
147	9872	23481
148	9934	23402
149	9997	23327
150	10059	23251
151	10126	23183
152	10185	23099
153	10244	23016
154	10303	22933
155	10363	22853
156	10425	22776
157	10484	22694
158	10542	22610
159	10602	22530
160	10666	22458
161	10733	22394
162	10793	22314
163	10862	22254
164	10926	22184
165	10986	22104
166	11056	22045
167	11120	21975
168	11208	21952
169	11274	21885
170	11330	21800
171	11393	21726
172	11452	21646
173	11509	21564
174	11573	21492
175	11629	21408
176	11689	21330
177	11747	21250
178	11807	21173
179	11869	21101
180	11934	21033
181	11995	20958
182	12053	20879
183	12117	20810
184	12175	20731
185	12242	20667
186	12311	20607
187	12379	20544
188	12441	20472
189	12504	20401
190	12559	20318
191	12626	20255
192	12693	20190
193	12757	20123
194	12816	20045
195	12876	19971
196	12939	19902
197	13019	19857
198	13080	19784
199	13143	19714
200	13211	19652
201	13279	19591
202	13342	19520
203	13401	19445
204	13463	19375
205	13528	19307
206	13583	19226
207	13646	19158
208	13710	19090
209	13771	19018
210	13830	18943
211	13888	18866
212	13947	18793
213	14008	18722
214	14080	18664
215	14145	18598
216	14216	18540
217	14282	18474
218	14344	18405
219	14403	18331
220	14465	18262
221	14531	18196
222	14596	18131
223	14658	18061
224	14723	17995
225	14791	17933
226	14857	17868
227	14922	17802
228	14983	17731
229	15055	17673
230	15117	17604
231	15177	17532
232	15235	17458
233	15297	17389
234	15359	17320
235	15418	17248
236	15483	17182
237	15545	17113
238	15624	17063
239	15693	17001
240	15752	16929
241	15810	16855
242	15867	16781
243	15926	16709
244	16048	16703
245	16134	16659
246	16227	16621
247	16287	16550
248	16355	16487
249	16412	16412
250	16473	16342
251	16532	16269
252	16600	16206
253	16662	16137
254	16722	16066
255	16782	15996
256	16844	15926
257	16911	15862
258	16973	15793
259	17047	15736
260	17109	15666
261	17178	15604
262	17243	15538
263	17315	15479
264	17380	15412
265	17450	15351
266	17524	15293
267	17598	15234
268	17672	15175
269	17740	15112
270	17803	15044
271	17862	14972
272	17925	14905
273	17996	14844
274	18057	14774
275	18128	14712
276	18194	14647
277	18256	14579
278	18325	14515
279	18385	14445
280	18443	14373
281	18511	14310
282	18581	14248
283	18653	14186
284	18712	14116
285	18772	14046
286	18834	13978
287	18896	13909
288	18956	13840
289	19023	13775
290	19081	13704
291	19140	13634
292	19204	13567
293	19265	13499
294	19329	13432
295	19391	13364
296	19451	13294
297	19507	13222
298	19568	13154
299	19627	13084
300	19696	13022
301	19772	12963
302	19850	12906
303	19910	12836
304	19978	12772
305	20049	12710
306	20115	12645
307	20191	12587
308	20247	12515
309	20329	12459
310	20393	12393
311	20454	12325
312	20510	12253
313	20563	12180
314	20619	12109
315	20687	12046
316	20752	11980
317	20806	11908
318	20865	11839
319	20934	11775
320	20994	11707
321	21062	11643
322	21129	11578
323	21219	11526
324	21281	11459
325	21350	11395
326	21424	11334
327	21489	11269
328	21551	11201
329	21612	11133
330	21676	11067
331	21733	10997
332	21788	10927
333	21847	10858
334	21904	10788
335	21959	10718
336	22017	10649
337	22071	10578
338	22135	10512
339	22192	10443
340	22253	10376
341	22307	10305
342	22365	10237
343	22418	10166
344	22476	10098
345	22530	10027
346	22581	9956
347	22635	9886
348	22694	9818
349	22753	9751
350	22804	9680
351	22857	9610
352	22909	9540
353	22960	9469
354	23015	9400
355	23068	9331
356	23120	9261
357	23174	9192
358	23235	9126
359	23292	9058
360	23344	8988
361	23396	8919
362	23454	8851
363	23510	8783
364	23565	8715
365	23619	8647
366	23670	8578
367	23720	8508
368	23776	8441
369	23834	8374
370	23887	8305
371	23944	8238
372	23998	8171
373	24052	8103
374	24103	8034
375	24161	7968
376	24212	7899
377	24267	7832
378	24321	7764
379	24370	7696
380	24423	7628
381	24475	7560
382	24526	7492
383	24576	7424
384	24634	7358
385	24688	7291
386	24749	7226
387	24810	7161
