Area_type,Location,Room size,Square_ft,Bathroom,Parking,Balcony,price_old,availability,Age
Super built up  Area,Electronic City Phase II,2,1056,2,Yes,1,39.07,19-Dec,2017
Plot  Area,Chikka Tirupathi,4,2600,5,Yes,3,120,Ready To Move,2019
Built up  Area,Uttarahalli,3,1440,2,Yes,3,62,Ready To Move,2017
Super built up  Area,Lingadheeranahalli,3,1521,3,Yes,1,95,Ready To Move,2015
Super built up  Area,Kothanur,2,1200,2,Yes,1,51,Ready To Move,2017
Super built up  Area,Whitefield,2,1170,2,Yes,1,38,Ready To Move,2017
Super built up  Area,Old Airport Road,4,2732,4,Yes,1,204,18-May,2018
Super built up  Area,Rajaji Nagar,4,3300,4,Yes,2,600,Ready To Move,2018
Super built up  Area,Marathahalli,3,1310,3,Yes,1,63.25,Ready To Move,2015
Plot  Area,Gandhi Bazar,6,1020,6,Yes,5,370,Ready To Move,2019
Super built up  Area,Whitefield,3,1800,2,Yes,2,70,18-Feb,2017
Plot  Area,Whitefield,4,2785,5,Yes,3,295,Ready To Move,2019
Super built up  Area,7th Phase JP Nagar,2,1000,2,Yes,1,38,Ready To Move,2017
Built up  Area,Gottigere,2,1100,2,Yes,2,40,Ready To Move,2017
Plot  Area,Sarjapur,3,2250,3,Yes,2,148,Ready To Move,2015
Super built up  Area,Mysore Road,2,1175,2,Yes,2,73.5,Ready To Move,2017
Super built up  Area,Bisuvanahalli,3,1180,3,Yes,2,48,Ready To Move,2015
Super built up  Area,Raja Rajeshwari Nagar,3,1540,3,Yes,3,60,Ready To Move,2015
Super built up  Area,Ramakrishnappa Layout,3,2770,4,Yes,2,290,Ready To Move,2018
Super built up  Area,Manayata Tech Pa  ,2,1100,2,Yes,2,48,Ready To Move,2017
Built up  Area,Kengeri,1,600,1,Yes,1,15,Ready To Move,2017
Super built up  Area,Binny Pete,3,1755,3,Yes,1,122,19-Dec,2015
Plot  Area,Thanisandra,4,2800,5,Yes,2,380,Ready To Move,2019
Super built up  Area,Bellandur,3,1767,3,Yes,1,103,Ready To Move,2015
Super built up  Area, Thanisandra,1,510,1,Yes,0,25.25,18-Nov,2017
Super built up  Area,Mangammanapalya,3,1250,3,Yes,2,56,18-May,2015
Super built up  Area,Electronic City,2,660,1,Yes,1,23.1,Ready To Move,2017
Built up  Area,Whitefield,3,1610,3,Yes,2,81,20-Dec,2015
Super built up  Area,Ramagondanahalli,2,1151,2,Yes,2,48.77,17-Oct,2017
Super built up  Area,Electronic City,3,1025,2,Yes,1,47,Ready To Move,2017
Super built up  Area,Yelahanka,4,2850,4,Yes,0,186,19-Dec,2018
Super built up  Area,Bisuvanahalli,3,1075,2,Yes,1,35,Ready To Move,2017
Super built up  Area,Hebbal,3,1760,2,Yes,2,123,Ready To Move,2017
Super built up  Area,Raja Rajeshwari Nagar,3,1693,3,Yes,3,57.39,Ready To Move,2015
Built up  Area,Kasturi Nagar,3,1925,3,Yes,,125,Ready To Move,2015
Super built up  Area,Kanakpura Road,2,700,2,Yes,1,36,21-Dec,2017
Super built up  Area,Electronics City Phase 1,2,1070,2,Yes,1,45.5,Ready To Move,2017
Super built up  Area,Kundalahalli,3,1724,3,Yes,2,125,Ready To Move,2015
Super built up  Area,Chikkalasandra,3,1290,2,Yes,2,56.12,Ready To Move,2017
Built up  Area,Uttarahalli,2,1143,2,Yes,2,45,Ready To Move,2017
Built up  Area,Murugeshpalya,2,1296,2,Yes,,81,Ready To Move,2017
Super built up  Area,Sarjapur  Road,3,1254,3,Yes,2,38,19-Dec,2015
Super built up  Area,Ganga Nagar,1,600,1,Yes,0,38,Ready To Move,2017
Plot  Area,Yelahanka,1,660,1,Yes,0,48,Ready To Move,2017
Super built up  Area,Kanakpura Road,2,1331,2,Yes,2,91.79,19-Sep,2017
Plot  Area,HSR Layout,8,600,9,Yes,,200,Ready To Move,2021
Super built up  Area,Doddathoguru,2,970,2,Yes,0,33,Ready To Move,2017
Super built up  Area,Whitefield,2,1459,2,Yes,1,94.82,20-Sep,2017
Plot  Area,KR Puram,2,800,1,Yes,1,130,Ready To Move,2017
Built up  Area,Himagiri Meadows,2,869,2,Yes,1,36,Ready To Move,2017
Super built up  Area,Adarsh Nagar,2,1270,2,Yes,1,50,Ready To Move,2017
Super built up  Area,Bhoganhalli,3,1670,3,Yes,1,99,18-Mar,2015
Built up  Area,Whitefield,3,2010,3,Yes,2,91,Ready To Move,2015
Super built up  Area,Lakshminarayana Pura,2,1185,2,Yes,2,75,Ready To Move,2017
Super built up  Area,Yelahanka,3,1600,2,Yes,3,75,Ready To Move,2017
Super built up  Area,Begur Road,2,1200,2,Yes,2,44,Ready To Move,2017
Built up  Area,Devanahalli,4,3410,2,Yes,2,192,20-Feb,
Super built up  Area,Ramakrishnappa Layout,2,1500,2,Yes,2,185,Ready To Move,2017
Plot  Area,Murugeshpalya,6,1407,4,Yes,1,150,Ready To Move,2018
Super built up  Area,Govindaraja Nagar Ward,2,840,2,Yes,2,45,Ready To Move,2017
Plot  Area,Tharabanahalli,3,4395,3,Yes,2,240,Ready To Move,2015
Super built up  Area,Ganga Nagar,2,845,2,Yes,1,55,Ready To Move,2017
Plot  Area,Whitefield,4,5700,5,Yes,3,650,Ready To Move,2019
Built up  Area,Varthur,2,1160,2,Yes,2,44,Ready To Move,2017
Built up  Area,Bommanahalli,8,3000,8,Yes,0,140,Ready To Move,2020
Super built up  Area,Doddathoguru,2,1100,2,Yes,1,62,Ready To Move,2017
Super built up  Area,Gunjur,2,1140,2,Yes,3,43,18-Apr,2017
Super built up  Area,Marathahalli,2,1220,2,Yes,1,57,Ready To Move,2017
Plot  Area,Devarachikkanahalli,8,1350,7,Yes,0,85,Ready To Move,2020
Super built up  Area,Kanakpura Road,2,1005,2,Yes,1,36.68,Ready To Move,2017
Plot  Area,Double Road,3,500,3,Yes,2,100,Ready To Move,2015
Super built up  Area,Begur Road,2,1358,2,Yes,1,80.58,20-Aug,2017
Super built up  Area,Hegde Nagar,3,1569,3,Yes,1,101,Ready To Move,2015
Super built up  Area,Haralur Road,2,1240,2,Yes,1,70,18-Apr,2017
Super built up  Area,Hennur Road,3,2089,3,Yes,2,140,Ready To Move,2015
Super built up  Area,Kothannur,2,1206,2,Yes,1,48.23,Ready To Move,2017
Super built up  Area,Kalena Agrahara,2,1150,2,Yes,3,40,Ready To Move,2017
Built up  Area,Cholanayakanahalli,3,2511,3,Yes,3,205,Ready To Move,2015
Built up  Area,Kaval Byrasandra,2,460,1,Yes,0,22,Ready To Move,2017
Built up  Area,ISRO Layout,6,4400,6,Yes,3,250,Ready To Move,2019
Super built up  Area,Kodanda Reddy Layout,3,1660,2,Yes,2,105,Ready To Move,2017
Built up  Area,Hennur Road,4,3450,3,Yes,0,224.5,18-Oct,
Super built up  Area,Yelahanka,2,1326,2,Yes,2,78,19-Mar,2017
Super built up  Area,Garudachar Palya,3,1325,2,Yes,2,60.8,Ready To Move,2017
Super built up  Area,EPIP Zone,3,1499,5,Yes,2,102,Ready To Move,2019
Built up  Area,Hegde Nagar,6,3000,7,Yes,2,210,Ready To Move,2020
Super built up  Area,Kanakpura Road,3,1665,3,Yes,2,88,Ready To Move,2015
Super built up  Area,Dasanapura,2,708,2,Yes,2,37,17-Sep,2017
